,Region,Site,Filename,Start.freq,End.freq,Min.freq,Max.freq,Delta.freq,Duration,Extrema,sqrtStart.freq,sqrtEnd.freq,sqrtDelta.freq,logDuration,logExt,sqrtMin,sqrtMax
228,Bay,4,Pot.01.190618.131651.12,9953.2,4013.4,3973.2,11076.9,7103.7,1.106,5,99.76572558,63.35140093,84.28345033,0.100749903,1.609437912,63.03332452,105.2468527
229,Bay,4,Pot.01.190619.104536.88,6622.1,4093.6,4093.6,7786,3692.4,0.252,3,81.37628647,63.98124725,60.76512157,-1.378326191,1.098612289,63.98124725,88.23831367
230,Bay,4,Pot.01.190626.121646.53,6501.7,10073.6,4535.1,10635.5,6100.4,1.088,8,80.63311975,100.3673254,78.10505745,0.084341148,2.079441542,67.3431511,103.1285605
231,Bay,4,Pot.01.190627.080551.48,7143.8,9150.5,7143.8,13404.7,6260.9,0.271,4,84.52100331,95.65824585,79.12584913,-1.305636458,1.386294361,84.52100331,115.7786682
232,Bay,4,Pot.01.190627.084639.52,5016.7,4274.6,4214,7464.9,3250.9,0.555,4,70.82866651,65.38042521,57.01666423,-0.588787165,1.386294361,64.91532947,86.39965278
233,Bay,4,Pot.01.190627.085611.91,5217.4,4535.1,4535.1,9752.5,5217.4,0.413,3,72.23157204,67.3431511,72.23157204,-0.884307686,1.098612289,67.3431511,98.75474672
234,Bay,4,Pot.01.190629.033539.24,11036.8,5217.4,5217.4,13123.7,7906.3,0.653,4,105.0561754,72.23157204,88.91737738,-0.42617815,1.386294361,72.23157204,114.5587186
235,Bay,4,Pot.01.190629.180512.71,6541.8,6301,6301,20709,14408,0.762,5,80.88139465,79.37883849,120.0333287,-0.271808723,1.609437912,79.37883849,143.9062195
236,Bay,4,Pot.01.190629.184631.98,9551.8,3411.4,3411.4,9752.5,6341.1,0.45,4,97.7333106,58.40719134,79.6310241,-0.798507696,1.386294361,58.40719134,98.75474672
237,Bay,4,Pot.01.190704.003635.79,4896.3,7866.2,4454.8,7866.2,3411.4,0.691,3,69.97356644,88.6916005,58.40719134,-0.369615455,1.098612289,66.74428815,88.6916005
238,Bay,4,Pot.01.190803.114642.46,7424.7,8588.6,7183.9,10595.3,3411.4,0.409,4,86.1666989,92.67469989,58.40719134,-0.894040123,1.386294361,84.75789049,102.9334737
239,Bay,4,Pot.01.190803.160532.42,8990,6060.2,4294.3,11558.5,7264.2,1.85,14,94.81561053,77.8472864,85.23027631,0.615185639,2.63905733,65.53090874,107.5104646
240,Bay,4,Pot.01.190803.162513.83,9391.3,10755.9,4414.7,11598.7,7184,1.164,7,96.90871994,103.7106552,84.7584804,0.151862349,1.945910149,66.44320883,107.6972609
241,Bay,4,Pot.01.190803.164550.16,14729.1,4495,4294.3,14629.1,10334.8,0.895,5,121.3635036,67.04476117,101.6602184,-0.110931561,1.609437912,65.53090874,120.9508165
242,Bay,4,Pot.01.190803.232541.56,9230.8,6622.1,5498.3,14929.8,9431.5,1.25,5,96.07705241,81.37628647,97.11591013,0.223143551,1.609437912,74.15052259,122.1875607
243,Bay,4,Pot.01.190805.023533.73,6662.2,6190.6,6180.6,8468.2,2287.6,0.611,4,81.62230087,78.68036604,47.82886158,-0.49265832,1.386294361,78.6167921,92.02282326
244,Bay,4,Pot.01.190805.133600.22,6421.4,4575.3,3973.2,6421.4,2448.2,0.955,8,80.13363838,67.64096392,49.4792886,-0.046043939,2.079441542,63.03332452,80.13363838
245,Bay,4,Pot.01.190805.170548.35,3491.6,4976.6,2929.8,12682.3,9752.5,0.668,7,59.08976223,70.54502109,98.75474672,-0.403467105,1.945910149,54.12762696,112.6157183
246,Bay,4,Pot.01.190805.180551.15,5538.5,4334.4,4093.6,9752.5,5658.9,0.299,5,74.42109916,65.83616028,75.22566052,-1.207311706,1.609437912,63.98124725,98.75474672
247,Bay,4,Pot.01.190806.050623.25,11237.5,7183.9,7183.9,11759.2,4575.3,1.052,3,106.0070752,84.75789049,67.64096392,0.050693114,1.098612289,84.75789049,108.4398451
248,Bay,4,Pot.01.190806.211619.91,12000,5779.3,5779.3,13043.5,7264.2,1.07,4,109.5445115,76.02170743,85.23027631,0.067658648,1.386294361,76.02170743,114.2081433
249,Bay,4,Pot.01.190806.215654.28,7866.2,4495,4093.6,8227.4,4133.8,0.385,5,88.6916005,67.04476117,64.2946343,-0.954511945,1.609437912,63.98124725,90.7050164
250,Bay,4,Pot.01.190806.231552.74,8227.4,14528.4,4856.2,15612,10755.8,1.524,4,90.7050164,120.5338127,103.7101731,0.421338457,1.386294361,69.68644057,124.9479892
251,Bay,4,Pot.01.190807.000603.34,3491.6,11197.3,3491.6,11197.3,7705.7,0.478,2,59.08976223,105.8172954,87.78211663,-0.738144546,0.693147181,59.08976223,105.8172954
252,Bay,4,Pot.01.190807.002658.53,17097,6983.3,6983.3,17097,10113.7,0.944,10,130.755497,83.56614147,100.5668932,-0.057629113,2.302585093,83.56614147,130.755497
253,Bay,4,Pot.01.190807.021550.41,5779.3,4575.3,4334.4,5779.3,1444.9,0.491,3,76.02170743,67.64096392,38.01184026,-0.711311151,1.098612289,65.83616028,76.02170743
254,Bay,4,Pot.01.190807.072640.54,10555.2,15732.4,9551.8,19705.7,10153.9,0.808,6,102.738503,125.4288643,100.7665619,-0.21319322,1.791759469,97.7333106,140.3769924
255,Bay,4,Pot.01.190807.074531.33,9551.8,7826.1,7625.4,15090.3,7464.9,0.575,4,97.7333106,88.46524741,86.39965278,-0.553385238,1.386294361,87.32353635,122.8425822
256,Bay,4,Pot.01.190810.061519.53,10474.9,13806,7424.7,14127.1,6702.4,0.441,4,102.3469589,117.4989362,81.86818674,-0.818710404,1.386294361,86.1666989,118.8574777
257,Bay,4,Pot.01.190810.215553.65,13284.3,4575.3,4013.2,14488.3,10475.1,1.215,5,115.2575377,67.64096392,102.347936,0.194744077,1.609437912,63.34982241,120.3673544
258,Bay,4,Pot.01.190908.053005.95,12315.6,5125.3,5125.3,12315.6,7190.3,0.534,4,110.975673,71.59120058,84.79563668,-0.62735944,1.386294361,71.59120058,110.975673
259,Bay,4,Pot.01.190911.044131.52,4056,4203.5,3871.7,8148.9,4277.2,0.712,5,63.68673331,64.83440445,65.40030581,-0.339677368,1.609437912,62.22298611,90.27125788
260,Bay,4,Pot.01.190911.050138.49,9350.7,5591.5,5591.5,9540.3,3948.8,0.482,5,96.69901758,74.77633315,62.83947804,-0.729811165,1.609437912,74.77633315,97.6744593
261,Bay,4,Pot.01.190914.224004.01,4959.7,10235.2,4517.4,10235.2,5717.8,0.995,3,70.42513756,101.1691653,75.61613584,-0.005012542,1.098612289,67.21160614,101.1691653
262,Bay,4,Pot.01.190914.230050.94,8434.6,4359.5,4359.5,8434.6,4075.1,0.462,4,91.8400784,66.02650983,63.83650993,-0.772190388,1.386294361,66.02650983,91.8400784
263,Bay,4,Pot.01.190916.055010.01,19491.2,4996.9,4996.9,19491.2,14494.3,0.848,4,139.6108878,70.68875441,120.3922755,-0.164874643,1.386294361,70.68875441,139.6108878
264,Bay,4,Pot.01.190916.065149.12,4359.5,4201.5,2874.7,7550.1,4675.4,1.064,10,66.02650983,64.8189787,68.37689668,0.062035391,2.302585093,53.61622889,86.89131142
265,Bay,4,Pot.01.190921.083006.21,4264.7,4359.5,4264.7,7076.2,2811.5,0.849,3,65.30467058,66.02650983,53.02357966,-0.163696093,1.098612289,65.30467058,84.12015216
266,Bay,4,Pot.01.190921.085014.83,7676.4,7328.9,5117.6,11498.9,6381.3,1.264,14,87.6150672,85.60899485,79.8830395,0.234281296,2.63905733,71.5374028,107.232924
267,Bay,4,Pot.02.190602.205500.45,7014.3,6739.3,6739.3,18154.7,11415.4,0.577,3,83.7514179,82.09323967,106.8428753,-0.549913012,1.098612289,82.09323967,134.7393781
268,Bay,4,Pot.02.190613.193608.53,5467,5948.4,3575.9,5948.4,2372.5,0.434,3,73.93916418,77.12587115,48.70831551,-0.834710745,1.098612289,59.79882942,77.12587115
269,Bay,4,Pot.02.190628.131634.39,5260.7,4710.6,4263.6,11106,6842.4,1.47,9,72.53068316,68.63381091,82.71880077,0.385262401,2.197224577,65.29624798,105.3850084
270,Bay,4,Pot.02.190629.033545.15,10108.9,4882.5,4882.5,10384,5501.5,0.857,7,100.5430256,69.87488819,74.17209718,-0.15431736,1.945910149,69.87488819,101.9019136
271,Bay,4,Pot.02.190805.025543.92,11174.8,4882.5,4882.5,11174.8,6292.3,0.455,2,105.7109266,69.87488819,79.32401906,-0.78745786,0.693147181,69.87488819,105.7109266
272,Bay,4,Pot.02.190805.035512.94,11415.5,10934.1,6189.1,11656.2,5467.1,1.045,7,106.8433433,104.5662469,73.93984041,0.044016885,1.945910149,78.67083322,107.9638828
273,Bay,4,Pot.02.190805.180552.48,6051.6,18189.1,4710.6,18189.1,13478.5,0.304,3,77.79203044,134.8669715,116.0969423,-1.190727578,1.098612289,68.63381091,134.8669715
274,Bay,4,Pot.02.190806.214622.79,9833.8,16779.4,7977.1,17123.2,9146.1,0.842,6,99.1655182,129.5353234,95.63524455,-0.171975265,1.791759469,89.31461247,130.8556457
275,Bay,4,Pot.02.190807.004531.34,6257.9,19942.7,6257.9,19942.7,13684.8,0.388,4,79.10688971,141.2186248,116.9820499,-0.946749939,1.386294361,79.10688971,141.2186248
276,Bay,4,Pot.02.190807.005514.89,10899.7,10315.2,4126.1,11071.6,6945.5,0.498,5,104.4016283,101.5637731,83.33966643,-0.697155202,1.609437912,64.23472581,105.2216708
277,Bay,4,Pot.02.190807.012622.64,11759.3,5088.8,3713.5,11759.3,8045.8,0.863,4,108.4403062,71.3358255,89.69838349,-0.147340588,1.386294361,60.93849358,108.4403062
278,Bay,4,Pot.02.190807.020549.05,7667.6,14991.4,7667.6,15335.2,7667.6,2.364,12,87.56483312,122.4393728,87.56483312,0.8603551,2.48490665,87.56483312,123.8353746
