Index,WhisNum,SiteNum,Filename,Region,Startfreq,Endfreq,Minfreq,Maxfreq,Deltafreq,Duration,Extrema,SPLrms
83,2,4,Pot.03.190808.085604.71.ctr,Bay,5843.1,4297.8,4201.2,12217.3,8016.1,1,5,114.3481652
84,1,4,Pot.03.190602.084523.36.ctr,Bay,12313.9,13714.3,7967.8,13714.3,5746.5,0.544,3,101.3824906
84,2,4,Pot.02.190916.061137.46.ctr,Bay,12954.9,12422.5,7409.2,12954.9,5545.7,0.506,3,109.9740479
85,1,4,Pot.01.190704.034603.09.ctr,Bay,13810.9,15645.9,8209.3,15742.5,7533.2,0.285,4,104.0274335
85,2,4,Pot.03.190911.034105.43.ctr,Bay,10204.2,16459.9,8784.5,16459.9,7675.4,0.328,3,106.2372172
86,1,4,Pot.01.190629.072643.31.ctr,Bay,12362.2,13714.3,7050.3,13714.3,6664,0.892,3,99.64055368
86,2,4,Pot.02.190810.040623.90.ctr,Bay,11589.5,11010.1,6857.1,11589.5,4732.4,0.601,3,118.7144458
87,1,1,20170614.171809.05..sel.220.220wav.ctr',Coastal,10430.6,6036.2,6036.2,10430.6,4394.4,0.366,2,122.9509433
87,2,4,Pot.02.190611.170505.73.ctr',Bay,12265.6,5215.3,5215.3,12265.6,7050.3,0.555,2,116.5956607
88,1,1,sel.426.T1C.2017.07.ctr',Coastal,7967.8,12893.4,7967.8,12893.4,4925.6,0.802,4,122.9653317
88,2,4,Pot.02.190628.153609.11.ctr',Bay,7822.9,9996,7629.8,9996,2366.2,0.728,5,98.47318503
89,1,1,sel.330.T1C.2017.07.ctr',Coastal,12410.5,5891.3,4587.5,12410.5,7823,1.062,3,115.7136462
89,2,4,Pot.01.190814.082535.58.ctr',Bay,13666,5649.9,4877.3,14148.9,9271.6,0.79,4,122.0495274
90,1,1,T1C.05.ch01.180923.131744.70..ctr',Coastal,7533.2,17046.3,7533.2,17046.3,9513.1,0.456,2,130.7448447
90,2,4,Pot.02.190806.055537.12.ctr',Bay,9899.4,15839,7291.8,15839,8547.2,0.491,5,113.4688933
91,1,1,T1C.09.ch01.180822.140305.98..ctr',Coastal,9416.5,4829,4587.5,11782.7,7195.2,1.03,4,131.452797
91,2,4,Pot.03.190911.042102.62.ctr',Bay,10647.9,7009.9,4835.9,11845.8,7009.9,0.926,6,106.3187873
92,1,1,T1C.01.ch01.180823.220051.85..ctr',Coastal,7629.8,4056.3,4056.3,9318.9,5262.6,0.0191,3,132.8718799
92,2,4,Pot.01.190626.132556.98.ctr',Bay,7774.6,3718.3,3718.3,7774.6,4056.3,0.798,2,103.8225204
